"Менеджер","Контрагент","Итого","cnt_first","cnt_second"
Кузьмин Игорь Дмитриевич,КраснопольеЭкспорт АО (БЕЛАРУСЬ),2683.69,0,1
Лавар Владимир Игоревич,ГАММА-МАШ ООО,23390.73,2,0
Белозерский Денис Александрович,КСИ-ИНВЕСТ ООО,398864.17,3,4
Антоненко Ольга Александровна,БыховЭкспорт ООО (УЗБЕКИСТАН),39942.07,0,1
Мусина Елена Константиновна,МогилевСервис АО (БЕЛАРУСЬ),668.30,1,0
Антоненко Ольга Александровна,СтолбцыКом ООО (ТАДЖИКИСТАН),24043.56,2,0
Махоткина Ирина Юрьевна,ОсиповичиКом АО (БЕЛАРУСЬ),184062.35,0,1
Белозерский Денис Александрович,КостюковичиСервис АО (БЕЛАРУСЬ),60707.46,0,2
Антоненко Ольга Александровна,ЛИДЕР-ТЕХ ООО,12887.63,1,0
Лавар Владимир Игоревич,НЮ-ИНВЕСТ ООО,38613.04,2,0
Самбурова Ольга Владиславовна,ЛунинецМаш АО (РОССИЯ),1944.87,0,1
Самбурова Ольга Владиславовна,БерезаФарма ООО (УЗБЕКИСТАН),2001.26,1,0
Мусина Елена Константиновна,ДрогичинЭкспорт АО (БЕЛАРУСЬ),86443.20,1,0
Самбурова Ольга Владиславовна,ЧаусыИндустрия АО (МОЛДОВА),24840.00,1,1
Белозерский Денис Александрович,ВИКТОРИЯ-КОМ ООО,119459.12,2,2
Самбурова Ольга Владиславовна,АлтайФинанс АО (МОЛДОВА),39903.71,3,1
Нечесова Наталья Валерьевна,ПРИРОДА-КОМ ООО,6089.99,0,1
Лавар Владимир Игоревич,ИПСИЛОН-ТОРГ ООО,55399.70,3,1
Кузьмин Игорь Дмитриевич,ГанцевичиМед ТОО (БЕЛАРУСЬ),8262.00,1,0
Антоненко Ольга Александровна,СтарыеДорогиЭнерго АО (РОССИЯ),3548.00,1,0
Нечесова Наталья Валерьевна,ГАММА-ТОРГ ООО,1746391.92,5,0
Белозерский Денис Александрович,ПИ-ИНЖ ООО,260551.37,0,1
Катынкина Елена Александровна,КамчаткаКом ООО,4924.80,0,1
Белозерский Денис Александрович,ЯкутскЭнерго ТОО,9366.11,0,1
Антоненко Ольга Александровна,БАЛТИКА-ТРАНС ООО,101083.22,1,0
Белозерский Денис Александрович,ЭТА-ИНВЕСТ ООО,21172.80,1,0
Самбурова Ольга Владиславовна,ОктябрьскийМед ТОО (КИРГИЗИЯ),8569.20,0,1
Рудова Евгения Константиновна,ТитанСервис АО (МОЛДОВА),5445960.99,3,2
Самбурова Ольга Владиславовна,КлимовичиКом АО (РОССИЯ),8040.24,1,0
Самбурова Ольга Владиславовна,МагаданКом ТОО (ТУРКМЕНИСТАН),223326.14,1,1
Леонов Евгений Николаевич,КобринТрейд ООО (БЕЛАРУСЬ),54255.17,3,2
Самбурова Ольга Владиславовна,ВерхнедвинскЭнерго АО (РОССИЯ),115920.00,0,1
Рудова Евгения Константиновна,ЗабайкальеТранс ООО (АЗЕРБАЙДЖАН),254041.80,0,2
Белозерский Денис Александрович,АЛЬФА-11 ООО,48027.16,2,1
Лавар Владимир Игоревич,АЛЬФА-16 ООО,40363.13,1,1
Самбурова Ольга Владиславовна,ЧашникиФинанс ТОО (АРМЕНИЯ),134623.20,1,1
Антоненко Ольга Александровна,ТПП СИГМА ООО,1908.00,1,0
Рудова Евгения Константиновна,ЧебоксарыКонсалт ООО (АЗЕРБАЙДЖАН),2285875.39,3,2
Самбурова Ольга Владиславовна,БобруйскФарма ТОО (КИРГИЗИЯ),67105.15,2,1
Грозова Лариса Николаевна,Еврогидросервис ТОО (КАЗАХСТАН),13464.00,1,0
Белозерский Денис Александрович,МогилевЭкспорт ООО (УЗБЕКИСТАН),521998.04,2,3
Самбурова Ольга Владиславовна,ВитебскФинанс АО (МОЛДОВА),3831.26,1,0
Самбурова Ольга Владиславовна,ЛунинецИндустрия ТОО (АРМЕНИЯ),206283.38,1,3
Лавар Владимир Игоревич,КСИ-МАШ ООО,46432.66,2,0
Самбурова Ольга Владиславовна,УшачиТех АО (РОССИЯ),20637.06,0,2
Грозова Лариса Николаевна,ДраконЭнерго АО,384857.28,4,3
Самбурова Ольга Владиславовна,БраславМаш ТОО (ТУРКМЕНИСТАН),155659.66,3,1
Кузнецов Евгений Васильевич,БорисовКом ТОО (БЕЛАРУСЬ),4018605.56,5,3
Самбурова Ольга Владиславовна,ВитебскСервис ТОО (АРМЕНИЯ),6269.62,1,0
Белозерский Денис Александрович,ГоркиИнвест АО (БЕЛАРУСЬ),63618.16,1,0
Самбурова Ольга Владиславовна,ГомельЭнерго АО (РОССИЯ),25005.20,0,1
Антоненко Ольга Александровна,ИвацевичиМаш АО (РОССИЯ),1744.00,0,1
Самбурова Ольга Владиславовна,КарачаевоЧеркесияТранс ООО (АЗЕРБАЙДЖАН),27237.60,0,1
Кузьмин Игорь Дмитриевич,ШкловЭнерго ТОО (БЕЛАРУСЬ),3053.76,0,1
Нечесова Наталья Валерьевна,АЛЬФА-24 ООО,387785.92,1,2
Грозова Лариса Николаевна,ЕнисейСтрой ООО,77265.94,1,0
Самбурова Ольга Владиславовна,МордовияКонсалт ТОО (КАЗАХСТАН),232041.57,3,2
Белозерский Денис Александрович,КостюковичиЛогистика ООО (БЕЛАРУСЬ),13526.10,1,0
Катынкина Елена Александровна,ДагестанФинанс ООО,3064.32,1,0
Лавар Владимир Игоревич,КалмыкияИндустрия АО (МОЛДОВА),496925.40,6,5
Рудова Евгения Константиновна,ИвановоМед ООО (УЗБЕКИСТАН),32976.00,1,0
Махоткина Ирина Юрьевна,ДубровноИнвест ООО (БЕЛАРУСЬ),12867.12,1,0
Катынкина Елена Александровна,СлуцкИнвест АО (БЕЛАРУСЬ),2516.58,0,1
Грозова Лариса Николаевна,"АО ""НАК ""АЗОТ""",21487.26,0,1
Любецкая Юлия Михайловна,КСИ-ПРОД ООО,312411.66,6,3
Рудова Евгения Константиновна,ДельтаМед ООО (ТАДЖИКИСТАН),136087.20,1,1
Нечесова Наталья Валерьевна,ПСИ-ПРОМ ООО,543264.25,2,1
Самбурова Ольга Владиславовна,ПинскЭнерго ООО (ТАДЖИКИСТАН),2373.92,1,0
Махоткина Ирина Юрьевна,КомаринТрейд АО (БЕЛАРУСЬ),427903.32,2,1
Антоненко Ольга Александровна,СенненскийПроект АО (УКРАИНА),1800.00,1,0
